state,state_name,sector_name,ablated_var,diff_orig_pc,mean_diff_boot_pc,se,pval,sig
All,All States,All,HH_Size,0.2194954061435671,0.02064800849428422,0.02734199980579544,0,***
All,All States,All,hh_type_code,-0.20365712853874995,0.009738053904428574,0.027102021844938172,0,***
All,All States,All,Religion,-0.002049614078732165,0.021336003646449397,0.027179986683861432,0.958958958958959,
All,All States,All,Social_Group,-0.016874973642642233,0.018816788334318327,0.02693621476936563,0.6356356356356356,
All,All States,All,Land_possessed_code,-0.03491805220080468,0.01798065638465862,0.026730451202106518,0.2862862862862863,
All,All States,All,Dwelling_unit_code,-0.011393555069112438,0.02057527654267093,0.027280900661603116,0.7667667667667668,
All,All States,Rural,HH_Size,0.3115485612475398,0.042146480631971225,0.0378401389588514,0,***
All,All States,Rural,hh_type_code,-0.16876789336334252,0.03186371132590915,0.0385336616263359,0,***
All,All States,Rural,Religion,-0.008487356601708962,0.04205051138530619,0.0375290854076096,0.9009009009009009,
All,All States,Rural,Social_Group,-0.008909449557513383,0.03474923046975019,0.03648019913290425,0.8778778778778779,
All,All States,Rural,Land_possessed_code,-0.005444697054132419,0.03412160625904435,0.03725704595933591,0.9279279279279279,
All,All States,Rural,Dwelling_unit_code,0.0033651692533219757,0.042378709047959144,0.03778301535311506,0.9569569569569569,
All,All States,Urban,HH_Size,0.3197571225441229,0.1116474414760301,0.05503843130116067,0,***
All,All States,Urban,hh_type_code,-0.04677276434512567,0.09618405837575306,0.05422030878900738,0.8238238238238238,
All,All States,Urban,Religion,-0.006818600698944688,0.10866045331911178,0.054159872637870796,0.983983983983984,
All,All States,Urban,Social_Group,-0.08235280387358412,0.10305763956930201,0.05387183351364653,0.6336336336336337,
All,All States,Urban,Land_possessed_code,-0.07570536797284555,0.09605063529614931,0.05193404143799883,0.6406406406406406,
All,All States,Urban,Dwelling_unit_code,-0.061904856167162126,0.10767808586514337,0.05496316355769537,0.8018018018018018,
09,Uttar Pradesh,All,HH_Size,0.2327137515704547,0.09118302727725126,0.08293058583745733,0.04904904904904905,*
09,Uttar Pradesh,All,hh_type_code,-0.12750206897566407,0.04628838876739925,0.08191211654488799,0.17417417417417416,
09,Uttar Pradesh,All,Religion,0.006202355451022212,0.09127990665072894,0.08316197989921324,0.977977977977978,
09,Uttar Pradesh,All,Social_Group,-0.01436049246344595,0.08985228708308964,0.08303986408738367,0.9279279279279279,
09,Uttar Pradesh,All,Land_possessed_code,-0.07707149649552059,0.07594501507619697,0.08253745754222819,0.5235235235235235,
09,Uttar Pradesh,All,Dwelling_unit_code,-0.012619574337012884,0.08972682289104297,0.08403265517932965,0.948948948948949,
09,Uttar Pradesh,Rural,HH_Size,0.35100941480166115,0.0618653015173694,0.10795130164111542,0.003003003003003003,**
09,Uttar Pradesh,Rural,hh_type_code,-0.06108913256085258,0.05419756350468151,0.11132930942975695,0.6336336336336337,
