state,state_name,sector_name,iop_total_wtd,iop_abs_wtd_none,iop_abs_wtd_HH_Size,iop_abs_wtd_hh_type_code,iop_abs_wtd_Religion,iop_abs_wtd_Social_Group,iop_abs_wtd_Land_possessed_code,iop_abs_wtd_Dwelling_unit_code,iop_rel_wtd_none,iop_rel_wtd_HH_Size,iop_rel_wtd_hh_type_code,iop_rel_wtd_Religion,iop_rel_wtd_Social_Group,iop_rel_wtd_Land_possessed_code,iop_rel_wtd_Dwelling_unit_code,diff_iop_abs_wtd_none,diff_iop_abs_wtd_HH_Size,diff_iop_abs_wtd_hh_type_code,diff_iop_abs_wtd_Religion,diff_iop_abs_wtd_Social_Group,diff_iop_abs_wtd_Land_possessed_code,diff_iop_abs_wtd_Dwelling_unit_code,diff_iop_rel_wtd_none,diff_iop_rel_wtd_HH_Size,diff_iop_rel_wtd_hh_type_code,diff_iop_rel_wtd_Religion,diff_iop_rel_wtd_Social_Group,diff_iop_rel_wtd_Land_possessed_code,diff_iop_rel_wtd_Dwelling_unit_code,pc_iop_abs_wtd_none,pc_iop_abs_wtd_HH_Size,pc_iop_abs_wtd_hh_type_code,pc_iop_abs_wtd_Religion,pc_iop_abs_wtd_Social_Group,pc_iop_abs_wtd_Land_possessed_code,pc_iop_abs_wtd_Dwelling_unit_code,pc_iop_rel_wtd_none,pc_iop_rel_wtd_HH_Size,pc_iop_rel_wtd_hh_type_code,pc_iop_rel_wtd_Religion,pc_iop_rel_wtd_Social_Group,pc_iop_rel_wtd_Land_possessed_code,pc_iop_rel_wtd_Dwelling_unit_code
All,All States,All,0.6690657437611662,0.3708700466377195,0.3675927588064951,0.23155619933095295,0.36324542244801705,0.3499674795784813,0.35510900229746767,0.3654386898779194,0.5543103201680395,0.5494120155368667,0.34608885821781166,0.5429143934436484,0.5230688954588113,0.530753525507397,0.5461924979503489,0,0.0032772878312243847,0.13931384730676655,0.007624624189702445,0.02090256705923821,0.01576104434025183,0.00543135675980011,0,0.004898304631172801,0.20822146195022784,0.011395926724391048,0.031241424709228194,0.023556794660642533,0.00811782221769064,0,0.8836755248734791,37.56406012558189,2.0558748971039114,5.6360893118059385,4.249748525970295,1.4644905429921855,0,0.8836755248734819,37.56406012558189,2.0558748971039122,5.636089311805946,4.249748525970305,1.464490542992185
All,All States,Rural,0.6368025415349621,0.3107730018946313,0.3009993708164984,0.25160020283328777,0.3021926370620349,0.2870772952646803,0.3022267892210948,0.31047947007391485,0.4880209823684711,0.4726730048704945,0.39509924415003966,0.47454684513919104,0.45081053629701795,0.4746004758281917,0.48756003599723186,0,0.009773631078132894,0.05917279906134354,0.008580364832596388,0.02369570662995102,0.008546212673536502,2.935318207164528e-4,0,0.015347977497976562,0.09292173821843142,0.013474137229280037,0.03721044607145313,0.013420506540279376,4.6094637123922366e-4,0,3.144942134145449,19.040521120108846,2.760974981831141,7.624763568743058,2.749985559052561,0.09445216248738872,0,3.1449421341454453,19.04052112010885,2.760974981831138,7.624763568743051,2.749985559052556,0.09445216248738968
All,All States,Urban,0.6260234627789032,0.28343851831050415,0.2822439124411176,0.2555702794179524,0.27346603750629583,0.2478928817627093,0.25965892624572007,0.26646190092287725,0.45276021613044237,0.4508519715670777,0.4082439311195814,0.4368303326721759,0.3959801772641535,0.4147750710382328,0.4256420354279682,0,0.001194605869386578,0.027868238892551744,0.009972480804208317,0.03554563654779486,0.023779592064784083,0.016976617387626902,0,0.0019082445633646916,0.04451628501086097,0.01592988345826646,0.05678003886628885,0.03798514509220957,0.02711818070247418,0,0.42146913429666566,9.832198904604192,3.5183929353185373,12.540863097814729,8.389682604371282,5.989523755917035,0,0.4214691342966665,9.832198904604201,3.518392935318545,12.540863097814729,8.38968260437129,5.98952375591704
09,Uttar Pradesh,All,0.6019698060952123,0.321482621324094,0.3059862774946396,0.2284302840851069,0.32016505012006746,0.3107200750571337,0.29121769885750837,0.31539094209051655,0.5340510737730353,0.5083083476885257,0.37947133190427257,0.5318623075082068,0.5161721932079559,0.48377459452085386,0.5239314977213854,0,0.015496343829454418,0.09305233723898709,0.0013175712040265353,0.010762546266960271,0.03026492246658563,0.006091679233577452,0,0.02574272608450956,0.15457974186876272,0.0021887662648284456,0.017878880565079358,0.05027647925218143,0.010119576051649926,0,4.82027419262337,28.944748818997247,0.4098421241558378,3.347784779977361,9.414170614241343,1.8948704625113437,0,4.820274192623359,28.94474881899724,0.40984212415583354,3.3477847799773635,9.414170614241339,1.8948704625113464
09,Uttar Pradesh,Rural,0.5635364923863335,0.2949073380277696,0.27046784175263383,0.27526551443679637,0.2943621865974819,0.290936504517731,0.2717022356223424,0.2948460134577999,0.5233154232460873,0.4799473421984074,0.48846085063837813,0.5223480476854041,0.5162691475147255,0.4821377839646211,0.5232066023076065,0,0.024439496275135753,0.019641823590973218,5.451514302876603e-4,0.003970833510038574,0.02320510240542717,6.13245699696563e-5,0,0.04336808104767986,0.03485457260770913,9.673755606831591e-4,0.00704627573136174,0.04117763928146617,1.0882093848074703e-4,0,8.287178080605928,6.66033735285477,0.18485515956755433,1.3464681945841122,7.868608004335955,0.020794521553709776,0,8.287178080605925,6.66033735285476,0.18485515956755094,1.3464681945841015,7.8686080043359485,0.02079452155370058
09,Uttar Pradesh,Urban,0.5912598385060619,0.3085611457709092,0.30843707140280685,0.2768058287611552,0.30173075555643436,0.2700582956107951,0.2775075477192104,0.28670329619774293,0.5218706322934966,0.5216607848456878,0.46816274459053636,0.5103183675028874,0.45675061626568825,0.46934956451699744,0.4849023686813518,0,1.2407436810235595e-4,0.03175531700975398,0.006830390214474846,0.03850285016011412,0.031053598051698827,0.021857849573166277,0,2.098474478088308e-4,0.053707887702960255,0.011552264790609224,0.06512001602780837,0.052521067776499175,0.036968263612144836,0,0.04021062593359528,10.291417906948878,2.213626150956174,12.478191336734442,10.06400140695437,7.0837984213976855,0,0.04021062593359612,10.29141790694888,2.2136261509561828,12.478191336734445,10.064001406954372,7.0837984213976855
27,Maharashtra,All,0.6783681148342566,0.3707216597333627,0.3704072384207393,0.22496748090088659,0.3605602991676733,0.35235296333144106,0.355729022219748,0.36124883730735746,0.5464903960351082,0.5460268994382786,0.3316303876632706,0.531511271362994,0.5194126251313127,0.5243893609396162,0.5325262632599118,0,3.144213126233808e-4,0.1457541788324761,0.010161360565689392,0.018368696401921625,0.014992637513614682,0.009472822426005223,0,4.634965968295379e-4,0.2148600083718376,0.014979124672114152,0.027077770903795484,0.022101035095491994,0.01396413277519637,0,0.08481331057093473,39.316337474672544,2.7409675962817586,4.954848447520735,4.044176303159078,2.5552384591767425,0,0.08481331057092566,39.31633747467254,2.7409675962817555,4.954848447520737,4.04417630315907,2.555238459176741
27,Maharashtra,Rural,0.6818918013041184,0.3235127647258196,0.3067152153024608,0.24537055142764075,0.322403921021305,0.30663071522030805,0.31774882342506316,0.32223410176322886,0.47443416111925857,0.44980041513311614,0.35983795516879574,0.47280803260093074,0.4496764950595925,0.4659812932453043,0.47255899124605394,0,0.01679754942335876,0.07814221329817883,0.0011088437045145838,0.01688204950551153,0.005763941300756414,0.0012786629625907153,0,0.02463374598614243,0.11459620595046283,0.0016261285183278296,0.02475766605966606,0.008452867873954273,0.0018751698732046296,0,5.192236985639457,24.154290593264584,0.3427511447513795,5.2183565368183364,1.7816735316893646,0.39524343457495265,0,5.192236985639456,24.154290593264587,0.34275114475137247,5.2183565368183356,1.7816735316893582,0.3952434345749542
27,Maharashtra,Urban,0.6089474257157121,0.2603311674365614,0.2538309830289336,0.24370449683766537,0.23336395102666074,0.2126083617012,0.2471588106813556,0.24157468258715653,0.4275100878053425,0.4168356286761526,0.4002061369275566,0.38322512120382457,0.34914075127473565,0.40587873475425773,0.39670860305095695,0,0.006500184407627785,0.016626670598896,0.02696721640990063,0.04772280573536136,0.013172356755205783,0.018756484849404842,0,0.010674459129189906,0.02730395087778592,0.04428496660151793,0.07836933653060685,0.021631353051084767,0.030801484754385544,0,2.496890584263898,6.386738385040915,10.358812075957873,18.331575971206238,5.059846227753609,7.204855659081044,0,2.4968905842638947,6.386738385040913,10.358812075957873,18.331575971206238,5.059846227753609,7.20485565908104
10,Bihar,All,0.5306571532107682,0.3071325517189507,0.29870738811928277,0.20093915792244843,0.3072243570002229,0.3029611471795306,0.30098627645270426,0.30743800220898265,0.5787777472905613,0.562900898088226,0.37866098045914537,0.5789507502939444,0.5709169194204746,0.5671953626396468,0.579353355266792,0,0.00842516359966794,0.10619339379650228,-9.180528127217258e-5,0.004171404539420109,0.006146275266246448,-0.00030545049003194435,0,0.01587684920233534,0.20011676683141594,-1.730030033830765e-4,0.007860827870086684,0.011582384650914546,-5.756079762306854e-4,0,2.7431685611030887,34.57575343354591,-0.029891094499218465,1.3581772808104224,2.0011800220612077,-0.09945233363328236,0,2.743168561103085,34.57575343354591,-0.029891094499219673,1.3581772808104087,2.0011800220611957,-0.09945233363329628
10,Bihar,Rural,0.48342243069146207,0.2500318125914873,0.24050880922800388,0.2268956896423333,0.2497428768322152,0.24685676469607643,0.2639634946899605,0.2500826511006835,0.5172118559617827,0.49751272170799504,0.4693528376782054,0.5166141680165649,0.5106440020645825,0.5460307133709145,0.5173170196984413,0,0.00952300336348344,0.023136122949154014,2.8893575927213533e-4,0.0031750478954108985,-0.013931682098473175,-5.083850919618271e-5,0,0.01969913425378761,0.04785901828357725,5.976879452177508e-4,0.00656785389720016,-0.028818857409131815,-1.0516373665869772e-4,0,3.8087166848014378,9.253271697451877,0.11555959870762963,1.2698575683240867,-5.571963804956033,-0.020332816320155565,0,3.80871668480144,9.253271697451886,0.1155595987076357,1.2698575683240847,-5.571963804956024,-0.02033281632014027
