state,state_name,sector_name,iop_total_wtd,iop_abs_wtd_none,iop_abs_wtd_HH_Size,iop_abs_wtd_hh_type_code,iop_abs_wtd_Religion,iop_abs_wtd_Social_Group,iop_abs_wtd_Land_possessed_code,iop_abs_wtd_Dwelling_unit_code,iop_rel_wtd_none,iop_rel_wtd_HH_Size,iop_rel_wtd_hh_type_code,iop_rel_wtd_Religion,iop_rel_wtd_Social_Group,iop_rel_wtd_Land_possessed_code,iop_rel_wtd_Dwelling_unit_code,diff_iop_abs_wtd_none,diff_iop_abs_wtd_HH_Size,diff_iop_abs_wtd_hh_type_code,diff_iop_abs_wtd_Religion,diff_iop_abs_wtd_Social_Group,diff_iop_abs_wtd_Land_possessed_code,diff_iop_abs_wtd_Dwelling_unit_code,diff_iop_rel_wtd_none,diff_iop_rel_wtd_HH_Size,diff_iop_rel_wtd_hh_type_code,diff_iop_rel_wtd_Religion,diff_iop_rel_wtd_Social_Group,diff_iop_rel_wtd_Land_possessed_code,diff_iop_rel_wtd_Dwelling_unit_code,pc_iop_abs_wtd_none,pc_iop_abs_wtd_HH_Size,pc_iop_abs_wtd_hh_type_code,pc_iop_abs_wtd_Religion,pc_iop_abs_wtd_Social_Group,pc_iop_abs_wtd_Land_possessed_code,pc_iop_abs_wtd_Dwelling_unit_code,pc_iop_rel_wtd_none,pc_iop_rel_wtd_HH_Size,pc_iop_rel_wtd_hh_type_code,pc_iop_rel_wtd_Religion,pc_iop_rel_wtd_Social_Group,pc_iop_rel_wtd_Land_possessed_code,pc_iop_rel_wtd_Dwelling_unit_code
All,All States,All,0.5294593665312277,0.2990010493231239,0.23072949347260874,0.24757781051448546,0.29346679856826086,0.28719471796648577,0.2967347908852389,0.2980288921535248,0.5647289824751617,0.4357831933057326,0.46760493092510663,0.5542763375609336,0.5424301393477131,0.5604486569560714,0.5628928506942316,0,0.06827155585051514,0.051423238808638416,0.005534250754863024,0.011806331356638111,0.0022662584378849715,9.72157169599086e-4,0,0.12894578916942906,0.09712405155005505,0.010452644914228038,0.022298843127448564,0.0042803255190903,0.001836131780930117,0,22.83321613923019,17.19834727170688,1.850913489230695,3.9485919475417184,0.7579433058898317,0.325135036080926,0,22.833216139230192,17.19834727170689,1.8509134892306989,3.948591947541727,0.7579433058898408,0.3251350360809355
All,All States,Rural,0.5071371084050043,0.25947624531545443,0.17047641664248658,0.253861875324219,0.2545144385221647,0.24200358561211033,0.2537534555885941,0.2583579829079099,0.5116491004405743,0.3361544911959836,0.5005783862329448,0.5018651451530287,0.4771955780819022,0.5003645984153545,0.5094440509795685,0,0.08899982867296785,0.005614369991235435,0.004961806793289725,0.017472659703344107,0.005722789726860356,0.0011182624075445347,0,0.1754946092445907,0.011070714207629506,0.00978395528754561,0.034453522358672106,0.0112845020252198,0.002205049461005859,0,34.29979825889943,2.1637317837745984,1.912239321660247,6.733818612991713,2.2055158536393025,0.4309690878195896,0,34.29979825889943,2.1637317837745944,1.9122393216602498,6.733818612991723,2.205515853639313,0.4309690878195857
All,All States,Urban,0.5084320519963512,0.25884076750662643,0.1749836545495782,0.2454977266206697,0.251498664067185,0.2476961641732487,0.25672048421256477,0.2593609387295146,0.5090960856820334,0.34416330336080775,0.4828525771668532,0.49465540789507484,0.4871765326372978,0.5049258464421262,0.5101191746490756,0,0.08385711295704823,0.013343040885956725,0.007342103439441416,0.011144603333377745,0.0021202832940616645,-5.201712228881661e-4,0,0.1649327823212256,0.026243508515180147,0.014440677786958511,0.02191955304473553,0.004170239239907114,-0.001023088967042285,0,32.397181388708965,5.154922470091631,2.8365328654240898,4.305582710456319,0.8191458070867389,-0.20096186079916856,0,32.39718138870897,5.154922470091644,2.8365328654241,4.305582710456322,0.8191458070867441,-0.200961860799157
09,Uttar Pradesh,All,0.47399426114952803,0.2772461825024948,0.199363157078551,0.2323474332515616,0.2743903314876661,0.2719459687159542,0.27251353204337647,0.27549145529155794,0.5849146397471543,0.420602470154505,0.4901903932087152,0.5788895646588976,0.5737326187376879,0.5749300242211336,0.5812126387847771,0,0.07788302542394376,0.04489874925093318,0.0028558510148286587,0.005300213786540553,0.004732650459118304,0.001754727210936835,0,0.16431216959264927,0.09472424653843908,0.006025075088256671,0.011182021009466414,0.009984615526020701,0.003702000962377161,0,28.09164934966884,16.194541921430844,1.0300776692580647,1.9117355336327704,1.7070209646892858,0.6329130288100704,0,28.091649349668835,16.19454192143084,1.0300776692580609,1.911735533632763,1.7070209646892802,0.6329130288100593
09,Uttar Pradesh,Rural,0.45775410879377887,0.25752834252671164,0.14579163736834744,0.2561082691900083,0.25725414744010777,0.2524837967230269,0.24967281470071612,0.2574511309830996,0.5625910015429917,0.3184933451553736,0.5594887391942268,0.5619920007228213,0.551570792861572,0.5454299806475256,0.5624223268284916,0,0.1117367051583642,0.0014200733367033536,2.741950866038678e-4,0.005044545803684741,0.007855527825995523,7.721154361206573e-5,0,0.2440976563876181,0.0031022623487648726,5.990008201703922e-4,0.01102020868141973,0.017161020895466117,1.6867471450010552e-4,0,43.38811956077204,0.5514240967694882,0.10647180963214854,1.9588313092806495,3.05035467122642,0.029981765445509012,0,43.38811956077204,0.5514240967694906,0.10647180963213794,1.9588313092806544,3.0503546712264145,0.02998176544549937
09,Uttar Pradesh,Urban,0.4590148626180053,0.22064174779916357,0.16714538378664656,0.2043431951888124,0.20374345625350543,0.21170410330705636,0.21609394753431843,0.21677810677920206,0.48068541079634464,0.36413937194392304,0.44517773133387173,0.44387115286735684,0.46121404892990947,0.4707776700340813,0.4722681647883938,0,0.053496364012517006,0.01629855261035118,0.01689829154565814,0.00893764449210721,0.0045478002648451366,0.0038636410199615057,0,0.1165460388524216,0.03550767946247291,0.03681425792898779,0.019471361866435166,0.009907740762263362,0.008417246007950852,0,24.245803229047755,7.386885198709872,7.658700909602838,4.050749498341806,2.0611694342562568,1.751092464821452,0,24.245803229047755,7.386885198709868,7.658700909602839,4.050749498341803,2.061169434256253,1.7510924648214559
27,Maharashtra,All,0.5591299992192944,0.32741356723363424,0.2745781752419134,0.26252435718470224,0.321800372740654,0.31588225391351443,0.32514218537835404,0.32670586454605655,0.5855768205798246,0.4910811003260479,0.4695229330410842,0.5755376624219403,0.5649531492757972,0.5815144703956963,0.5843110993905379,0,0.052835391991720826,0.064889210048932,0.005613194492980256,0.011531313320119807,0.0022713818552801968,7.077026875776937e-4,0,0.09449572025377673,0.11605388753874041,0.010039158157884365,0.020623671304027424,0.0040623501841283716,0.0012657211892866949,0,16.13720299929379,19.818729748186843,1.7144049772912493,3.52194120040583,0.6937347998347896,0.21614946917355277,0,16.137202999293798,19.818729748186843,1.7144049772912495,3.52194120040584,0.6937347998347897,0.21614946917355898
27,Maharashtra,Rural,0.5599687077165072,0.2966163107726061,0.20778515224401417,0.29454840723792586,0.2953403146807432,0.2786510430037197,0.29213877509346275,0.29668044215532063,0.5297015827583935,0.37106564952770293,0.5260086915196795,0.5274228909774433,0.49761895470914613,0.521705536519663,0.5298161094843172,0,0.08883115852859191,0.0020679035346802266,0.0012759960918629076,0.017965267768886406,0.00447753567914333,-6.413138271454955e-5,0,0.15863593323069058,0.003692891238713969,0.0022786917809501928,0.032082628049247386,0.007996046238730514,-1.1452672592371371e-4,0,29.948170516048332,0.6971644712638666,0.43018406119989805,6.0567363008769455,1.5095379170081875,-0.02162098994067604,0,29.948170516048332,0.6971644712638821,0.43018406119989744,6.056736300876951,1.5095379170081988,-0.021620989940660876
27,Maharashtra,Urban,0.5166072111246649,0.2393544726919572,0.177694489838359,0.22280846336616378,0.22250770802565967,0.21832861573420814,0.2359112965496024,0.23744378248284193,0.46332003800503946,0.3439644008288508,0.43129181817091755,0.43070964406643814,0.42262014744026144,0.45665505914255144,0.45962150231298893,0,0.061659982853598194,0.01654600932579342,0.01684676466629753,0.021025856957749056,0.003443176142354787,0.0019106902091152733,0,0.11935563717618863,0.03202821983412191,0.03261039393860132,0.04069989056477802,0.0066649788624880135,0.003698535692050531,0,25.76094867170205,6.912763793258082,7.038416486153934,8.784401110736196,1.4385259250141786,0.7982680196556344,0,25.76094867170205,6.9127637932580726,7.038416486153924,8.784401110736189,1.4385259250141735,0.7982680196556279
10,Bihar,All,0.42157094996036903,0.2222528842939937,0.16651170183195063,0.1951317492821545,0.22215027282163646,0.2145737943101267,0.2161727016691657,0.22088743572021485,0.5272016117687597,0.3949790701840438,0.46286811105105413,0.5269582091520308,0.5089861963455933,0.5127789324418288,0.5239626585773521,0,0.05574118246204307,0.027121135011839215,1.0261147235723911e-4,0.007679089983867016,0.006080182624828012,0.001365448573778849,0,0.13222254158471586,0.06433350071770555,2.4340261672883834e-4,0.018215415423166403,0.014422679326930865,0.0032389531914075453,0,25.08007157662316,12.202827017517428,0.04616879222206438,3.4551137584829714,2.7357047104888017,0.6143670882455898,0,25.08007157662316,12.202827017517428,0.04616879222205398,3.4551137584829728,2.7357047104888057,0.6143670882455894
