"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9554,0.0054,0.04883
"Naive (SRS Bootstrap)",0.9448,-0.0052,0.04664
