"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.365333
"Bias  (mean - true)",0.008274
"% Relative bias",2.317
"RMSE",0.017469
"Monte-Carlo Std Dev",0.015387
"Mean SE  (Design-Based Jackknife)",0.017027
"Mean SE  (Naive SRS Bootstrap)",0.016234
"Mean Design Effect (DEFF)",1.1071
"Mean sample size (HH per rep)",3200
