"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.383245
"Bias  (mean - true)",0.026186
"% Relative bias",7.334
"RMSE",0.044465
"Monte-Carlo Std Dev",0.03594
"Mean SE  (Design-Based Jackknife)",0.038868
"Mean SE  (Naive SRS Bootstrap)",0.03694
"Mean Design Effect (DEFF)",1.1164
"Mean sample size (HH per rep)",600
