"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.365264
"Bias  (mean - true)",0.008206
"% Relative bias",2.298
"RMSE",0.016913
"Monte-Carlo Std Dev",0.014791
"Mean SE  (Design-Based Jackknife)",0.016064
"Mean SE  (Naive SRS Bootstrap)",0.015291
"Mean Design Effect (DEFF)",1.1104
"Mean sample size (HH per rep)",3600
