"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.367542
"Bias  (mean - true)",0.010484
"% Relative bias",2.936
"RMSE",0.020684
"Monte-Carlo Std Dev",0.017832
"Mean SE  (Design-Based Jackknife)",0.019654
"Mean SE  (Naive SRS Bootstrap)",0.018697
"Mean Design Effect (DEFF)",1.1121
"Mean sample size (HH per rep)",2400
