"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.372431
"Bias  (mean - true)",0.015372
"% Relative bias",4.305
"RMSE",0.027597
"Monte-Carlo Std Dev",0.022922
"Mean SE  (Design-Based Jackknife)",0.025631
"Mean SE  (Naive SRS Bootstrap)",0.024363
"Mean Design Effect (DEFF)",1.1147
"Mean sample size (HH per rep)",1400
