"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9496,-4e-04,0.04962
"Naive (SRS Bootstrap)",0.937,-0.013,0.04741
