"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.948,-0.002,0.05575
"Naive (SRS Bootstrap)",0.9354,-0.0146,0.05317
