"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.368317
"Bias  (mean - true)",0.011259
"% Relative bias",3.153
"RMSE",0.021794
"Monte-Carlo Std Dev",0.018663
"Mean SE  (Design-Based Jackknife)",0.020516
"Mean SE  (Naive SRS Bootstrap)",0.019533
"Mean Design Effect (DEFF)",1.1107
"Mean sample size (HH per rep)",2200
