"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9386,-0.0114,0.06297
"Naive (SRS Bootstrap)",0.9268,-0.0232,0.05994
