"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.365325
"Bias  (mean - true)",0.008267
"% Relative bias",2.315
"RMSE",0.017135
"Monte-Carlo Std Dev",0.01501
"Mean SE  (Design-Based Jackknife)",0.016508
"Mean SE  (Naive SRS Bootstrap)",0.015721
"Mean Design Effect (DEFF)",1.1092
"Mean sample size (HH per rep)",3400
