"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.367129
"Bias  (mean - true)",0.01007
"% Relative bias",2.82
"RMSE",0.019957
"Monte-Carlo Std Dev",0.017232
"Mean SE  (Design-Based Jackknife)",0.018869
"Mean SE  (Naive SRS Bootstrap)",0.017972
"Mean Design Effect (DEFF)",1.1094
"Mean sample size (HH per rep)",2600
