"delta","omega_r2","rej_rate","type"
-0.00226691719240391,0.359325435567037,0.043,"Power"
0.0565522930842233,0.30050622529041,0.1815,"Power"
0.119757728474662,0.237300789899971,0.5265,"Power"
0.18621951508558,0.170839003289053,0.856,"Power"
0.309412789562362,0.0476457288122713,0.995,"Power"
