"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9422,-0.0078,0.05457
"Naive (SRS Bootstrap)",0.9312,-0.0188,0.05202
