"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.363261
"Bias  (mean - true)",0.006203
"% Relative bias",1.737
"RMSE",0.013546
"Monte-Carlo Std Dev",0.012043
"Mean SE  (Design-Based Jackknife)",0.013365
"Mean SE  (Naive SRS Bootstrap)",0.012757
"Mean Design Effect (DEFF)",1.1039
"Mean sample size (HH per rep)",5200
