"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.94,-0.01,0.05971
"Naive (SRS Bootstrap)",0.9304,-0.0196,0.05695
