"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.363402
"Bias  (mean - true)",0.006343
"% Relative bias",1.777
"RMSE",0.014218
"Monte-Carlo Std Dev",0.012726
"Mean SE  (Design-Based Jackknife)",0.01392
"Mean SE  (Naive SRS Bootstrap)",0.01327
"Mean Design Effect (DEFF)",1.1074
"Mean sample size (HH per rep)",4800
