"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9346,-0.0154,0.07704
"Naive (SRS Bootstrap)",0.9226,-0.0274,0.07329
