"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9516,0.0016,0.0505
"Naive (SRS Bootstrap)",0.9406,-0.0094,0.04818
