"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.887,-0.063,0.18573
"Naive (SRS Bootstrap)",0.8716,-0.0784,0.17633
