"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.8954,-0.0546,0.15236
"Naive (SRS Bootstrap)",0.8834,-0.0666,0.1448
