"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.369392
"Bias  (mean - true)",0.012333
"% Relative bias",3.454
"RMSE",0.023323
"Monte-Carlo Std Dev",0.019797
"Mean SE  (Design-Based Jackknife)",0.021472
"Mean SE  (Naive SRS Bootstrap)",0.020447
"Mean Design Effect (DEFF)",1.11
"Mean sample size (HH per rep)",2000
