"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9046,-0.0454,0.13215
"Naive (SRS Bootstrap)",0.8922,-0.0578,0.12575
