"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.362343
"Bias  (mean - true)",0.005284
"% Relative bias",1.48
"RMSE",0.012146
"Monte-Carlo Std Dev",0.010937
"Mean SE  (Design-Based Jackknife)",0.012457
"Mean SE  (Naive SRS Bootstrap)",0.011897
"Mean Design Effect (DEFF)",1.1029
"Mean sample size (HH per rep)",6000
