"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9464,-0.0036,0.05343
"Naive (SRS Bootstrap)",0.9356,-0.0144,0.05102
