"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.8736,-0.0764,0.25794
"Naive (SRS Bootstrap)",0.8588,-0.0912,0.24505
