"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.36323
"Bias  (mean - true)",0.006171
"% Relative bias",1.728
"RMSE",0.014245
"Monte-Carlo Std Dev",0.01284
"Mean SE  (Design-Based Jackknife)",0.014221
"Mean SE  (Naive SRS Bootstrap)",0.013563
"Mean Design Effect (DEFF)",1.1063
"Mean sample size (HH per rep)",4600
