"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.362652
"Bias  (mean - true)",0.005594
"% Relative bias",1.567
"RMSE",0.012894
"Monte-Carlo Std Dev",0.011619
"Mean SE  (Design-Based Jackknife)",0.01312
"Mean SE  (Naive SRS Bootstrap)",0.01252
"Mean Design Effect (DEFF)",1.105
"Mean sample size (HH per rep)",5400
