"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.366416
"Bias  (mean - true)",0.009358
"% Relative bias",2.621
"RMSE",0.018578
"Monte-Carlo Std Dev",0.016051
"Mean SE  (Design-Based Jackknife)",0.017577
"Mean SE  (Naive SRS Bootstrap)",0.016737
"Mean Design Effect (DEFF)",1.1098
"Mean sample size (HH per rep)",3000
