"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.942,-0.008,0.05239
"Naive (SRS Bootstrap)",0.9352,-0.0148,0.05001
