"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.36222
"Bias  (mean - true)",0.005162
"% Relative bias",1.446
"RMSE",0.012593
"Monte-Carlo Std Dev",0.011487
"Mean SE  (Design-Based Jackknife)",0.012883
"Mean SE  (Naive SRS Bootstrap)",0.01229
"Mean Design Effect (DEFF)",1.1055
"Mean sample size (HH per rep)",5600
