"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.364414
"Bias  (mean - true)",0.007355
"% Relative bias",2.06
"RMSE",0.015681
"Monte-Carlo Std Dev",0.013851
"Mean SE  (Design-Based Jackknife)",0.015234
"Mean SE  (Naive SRS Bootstrap)",0.014527
"Mean Design Effect (DEFF)",1.1065
"Mean sample size (HH per rep)",4000
