"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.932,-0.018,0.08042
"Naive (SRS Bootstrap)",0.9164,-0.0336,0.07657
