"Statistic","Value"
"True omega_r",0.357059
"Mean estimate (omega_r_hat)",0.362444
"Bias  (mean - true)",0.005386
"% Relative bias",1.508
"RMSE",0.012652
"Monte-Carlo Std Dev",0.01145
"Mean SE  (Design-Based Jackknife)",0.01266
"Mean SE  (Naive SRS Bootstrap)",0.012095
"Mean Design Effect (DEFF)",1.1024
"Mean sample size (HH per rep)",5800
