"SE_Estimator","Empirical_Coverage","Coverage_minus_95pct","Mean_CI_Width"
"Design-Based (Jackknife)",0.9244,-0.0256,0.08882
"Naive (SRS Bootstrap)",0.911,-0.039,0.08451
